time,ms,motvel,vehvel,
Wed Jun 25 08:21:01 EDT 2014,1403698861962,0.0,0.0,
Wed Jun 25 08:21:02 EDT 2014,1403698862377,0.0,0.0,
Wed Jun 25 08:21:02 EDT 2014,1403698862519,0.0,0.0,
Wed Jun 25 08:21:02 EDT 2014,1403698862784,0.0,0.0,
Wed Jun 25 08:21:02 EDT 2014,1403698862995,0.0,0.0,
Wed Jun 25 08:21:03 EDT 2014,1403698863180,0.0,0.0,
Wed Jun 25 08:21:03 EDT 2014,1403698863330,0.0,0.0,
Wed Jun 25 08:21:03 EDT 2014,1403698863722,0.0,0.0,
Wed Jun 25 08:21:04 EDT 2014,1403698864163,0.0,0.0,
Wed Jun 25 08:21:04 EDT 2014,1403698864370,0.0,0.0,
Wed Jun 25 08:21:05 EDT 2014,1403698865362,0.0,0.0,
Wed Jun 25 08:21:38 EDT 2014,1403698898365,0.0,0.0,
Wed Jun 25 08:21:38 EDT 2014,1403698898512,0.0,0.0,
Wed Jun 25 08:21:38 EDT 2014,1403698898729,0.0,0.0,
Wed Jun 25 08:21:38 EDT 2014,1403698898938,0.0,0.0,
Wed Jun 25 08:21:39 EDT 2014,1403698899175,0.0,0.0,
Wed Jun 25 08:21:39 EDT 2014,1403698899722,0.0,0.0,
Wed Jun 25 08:21:39 EDT 2014,1403698899926,0.0,0.0,
Wed Jun 25 08:21:40 EDT 2014,1403698900170,0.0,0.0,
Wed Jun 25 08:21:40 EDT 2014,1403698900438,0.0,0.0,
Wed Jun 25 08:21:40 EDT 2014,1403698900530,0.0,0.0,
Wed Jun 25 08:21:41 EDT 2014,1403698901568,0.0,0.0,
Wed Jun 25 08:21:41 EDT 2014,1403698901731,0.0,0.0,
Wed Jun 25 08:21:41 EDT 2014,1403698901920,0.0,0.0,
Wed Jun 25 08:21:42 EDT 2014,1403698902162,0.0,0.0,
Wed Jun 25 08:21:42 EDT 2014,1403698902367,0.0,0.0,
Wed Jun 25 08:21:42 EDT 2014,1403698902523,0.0,0.0,
Wed Jun 25 08:21:42 EDT 2014,1403698902796,0.0,0.0,
Wed Jun 25 08:21:42 EDT 2014,1403698902943,0.0,0.0,
Wed Jun 25 08:21:43 EDT 2014,1403698903173,0.0,0.0,
Wed Jun 25 08:21:43 EDT 2014,1403698903325,0.0,0.0,
Wed Jun 25 08:21:44 EDT 2014,1403698904234,0.0,0.0,
Wed Jun 25 08:21:45 EDT 2014,1403698905017,0.0,0.0,
Wed Jun 25 08:21:45 EDT 2014,1403698905169,0.0,0.0,
Wed Jun 25 08:21:45 EDT 2014,1403698905531,0.0,0.0,
Wed Jun 25 08:21:45 EDT 2014,1403698905782,0.0,0.0,
Wed Jun 25 08:21:46 EDT 2014,1403698906250,0.0,0.0,
Wed Jun 25 08:21:46 EDT 2014,1403698906722,0.0,0.0,
Wed Jun 25 08:21:46 EDT 2014,1403698906966,0.0,0.0,
Wed Jun 25 08:21:47 EDT 2014,1403698907176,0.0,0.0,
Wed Jun 25 08:21:47 EDT 2014,1403698907368,0.0,0.0,
Wed Jun 25 08:21:47 EDT 2014,1403698907564,0.0,0.0,
Wed Jun 25 08:21:48 EDT 2014,1403698908325,0.0,0.0,
Wed Jun 25 08:21:48 EDT 2014,1403698908557,0.0,0.0,
Wed Jun 25 08:21:48 EDT 2014,1403698908739,0.0,0.0,
Wed Jun 25 08:21:49 EDT 2014,1403698909635,0.0,0.0,
Wed Jun 25 08:21:49 EDT 2014,1403698909730,0.0,0.0,
Wed Jun 25 08:21:50 EDT 2014,1403698910232,0.0,0.0,
Wed Jun 25 08:21:50 EDT 2014,1403698910971,0.0,0.0,
Wed Jun 25 08:21:51 EDT 2014,1403698911326,0.0,0.0,
Wed Jun 25 08:21:51 EDT 2014,1403698911804,0.0,0.0,
Wed Jun 25 08:21:51 EDT 2014,1403698911954,0.0,0.0,
Wed Jun 25 08:21:52 EDT 2014,1403698912127,0.0,0.0,
Wed Jun 25 08:21:52 EDT 2014,1403698912329,0.0,0.0,
Wed Jun 25 08:21:52 EDT 2014,1403698912568,0.0,0.0,
Wed Jun 25 08:21:53 EDT 2014,1403698913738,0.0,0.0,
Wed Jun 25 08:21:53 EDT 2014,1403698913936,0.0,0.0,
Wed Jun 25 08:21:54 EDT 2014,1403698914926,0.0,0.0,
Wed Jun 25 08:21:55 EDT 2014,1403698915600,0.0,0.0,
Wed Jun 25 08:21:55 EDT 2014,1403698915791,0.0,0.0,
Wed Jun 25 08:21:56 EDT 2014,1403698916136,0.0,0.0,
Wed Jun 25 08:21:56 EDT 2014,1403698916309,0.0,0.0,
Wed Jun 25 08:21:56 EDT 2014,1403698916529,0.0,0.0,
Wed Jun 25 08:21:56 EDT 2014,1403698916729,0.0,0.0,
Wed Jun 25 08:21:56 EDT 2014,1403698916928,0.0,0.0,
